Category;Subcategory;103 δ34SVCDT;x(32S);x(33S);x(34S);x(36S);Atomic weight;103 δ34SVCDT;x(32S);x(33S);x(34S);x(36S);Atomic weight
;;Lower bound;Lower bound;Lower bound;Lower bound;Lower bound;Lower bound;Upper bound;Upper bound;Upper bound;Upper bound;Upper bound;Upper bound
Standard atomic weight;;-57,9;0,952936;0,007287;0,039647;0,000130;32,059;144,2;0,944145;0,007957;0,047708;0,000190;32,076
Sulfate;Atmospheric;-30;0,951709;0,007385;0,040769;0,000137;32,061367;30;0,949084;0,007589;0,043172;0,000155;32,066434
Sulfate;Surface water/groundwater;-22;0,951357;0,007413;0,041090;0,000140;32,062045;135;0,944540;0,007928;0,047345;0,000187;32,075231
Sulfate;Modern ocean;20,7;0,949490;0,007558;0,042800;0,000152;32,065651;21,3;0,949464;0,007560;0,042824;0,000152;32,065702
Sulfate;Mineral;-43;0,952279;0,007340;0,040247;0,000134;32,060266;-3;0,950525;0,007478;0,041852;0,000145;32,063651
Sulfate;Commercial ;-3;0,950525;0,007478;0,041852;0,000145;32,063651;30;0,949084;0,007589;0,043172;0,000155;32,066434
Sulfate;Sulfuric acid;-3;0,950525;0,007478;0,041852;0,000145;32,063651;12;0,949870;0,007529;0,042452;0,000149;32,064917
Sulfate;Reagents ;-34;0,951885;0,007371;0,040608;0,000136;32,061029;26;0,949259;0,007576;0,043012;0,000153;32,066098
Sulfur dioxide;Atmospheric;-39;0,952103;0,007354;0,040408;0,000135;32,060605;33;0,948955;0,007599;0,043291;0,000155;32,066687
Sulfur dioxide;Reagents ;0,8;0,950359;0,007491;0,042004;0,000146;32,063972;1,6;0,950325;0,007493;0,042036;0,000146;32,064040
Elemental sulfur;Native ;-30;0,951709;0,007385;0,040769;0,000137;32,061367;16;0,949696;0,007542;0,042612;0,000150;32,065255
Elemental sulfur;Commercial;-4;0,950569;0,007474;0,041812;0,000145;32,063567;28;0,949172;0,007582;0,043092;0,000154;32,066266
Organic sulfur;Soil ;-31;0,951753;0,007381;0,040729;0,000137;32,061283;31;0,949042;0,007592;0,043211;0,000155;32,066519
Organic sulfur;Vegetation ;-33;0,951839;0,007375;0,040649;0,000137;32,061113;32;0,948998;0,007596;0,043251;0,000155;32,066603
Organic sulfur;Animals ;-10;0,950832;0,007454;0,041571;0,000143;32,063060;21;0,949477;0,007559;0,042812;0,000152;32,065676
Organic sulfur;Fossil fuels ;-11;0,950876;0,007450;0,041531;0,000143;32,062975;28;0,949172;0,007582;0,043092;0,000154;32,066266
Organic sulfur;Reagents  ;1;0,950351;0,007491;0,042012;0,000146;32,063989;18;0,949608;0,007549;0,042692;0,000151;32,065423
Sulfide;Atmospheric H2S;-32;0,951796;0,007378;0,040689;0,000137;32,061198;20;0,949521;0,007555;0,042772;0,000152;32,065592
Sulfide;Thermogenic H2S;0;0,950394;0,007488;0,041972;0,000146;32,063905;30;0,949084;0,007589;0,043172;0,000155;32,066434
Sulfide;Surface water/ground water;-55;0,952807;0,007298;0,039764;0,000131;32,059247;30;0,949084;0,007589;0,043172;0,000155;32,066434
Sulfide;Minerals ;-54;0,952764;0,007301;0,039804;0,000131;32,059332;70;0,947347;0,007721;0,044766;0,000166;32,069796
Sulfide;Reagent H2S;1;0,950351;0,007491;0,042012;0,000146;32,063989;23;0,949389;0,007566;0,042892;0,000153;32,065845
Sulfide;Other reagents;-33;0,951839;0,007375;0,040649;0,000137;32,061113;23;0,949389;0,007566;0,042892;0,000153;32,065845
